RMS,Mean,Variance,CrestFactor,Energy,DominantFreq,Skewness,Kurtosis,ZeroCrossingRate,PeakToPeak,SignalEntropy,SpectralFlux,RMSFreq,Label
0.07134218,-6.19E-05,0.005094676,2.066953,5.211859,602.9297,-0.2533238,1.845366,0.03125,0.2826233,6.909999,3052.33,2.282949,1
0.07513183,-0.00085485,0.005649575,2.032966,5.780266,602.9297,-0.2784364,1.83659,0.03027344,0.2737122,6.90476,3780.253,2.404218,1
0.0737874,-0.001112908,0.005448663,2.074143,5.575251,602.9297,-0.2541321,1.831699,0.03222656,0.2875671,6.169361,3352.313,2.361197,1
0.07577131,-0.000415057,0.00574673,2.022656,5.879083,602.9297,-0.1626108,1.794688,0.02929688,0.2785645,6.699822,3861.097,2.424681,1
0.08424058,0.001264274,0.007101811,1.920015,7.266791,602.9297,-0.1293197,1.804284,0.02929688,0.320282,6.723639,5503.084,2.695698,1
0.07268258,-0.000326306,0.005287814,2.01204,5.409544,602.9297,-0.1634362,1.831584,0.02929688,0.276062,6.987433,2821.113,2.325843,1
0.0750263,-4.03E-05,0.005634446,2.191614,5.764041,602.9297,-0.1777044,1.842885,0.03125,0.304657,6.930274,3026.357,2.400841,1
0.0720546,-0.000685036,0.00519647,1.94148,5.31647,602.9297,-0.1985212,1.801692,0.03027344,0.2655029,7.055161,2756.338,2.305747,1
0.06431918,-0.000399381,0.004140841,2.068693,4.236244,602.9297,-0.3730665,1.828741,0.03027344,0.2460022,6.765469,2251.661,2.058213,1
0.06158979,0.000486046,0.003796773,2.112305,3.884341,602.9297,-0.3378271,1.91478,0.02832031,0.2420044,6.940765,1772.208,1.970873,1
0.0820934,-0.000968933,0.006744972,1.94384,6.901069,602.9297,-0.1745875,1.787622,0.02929688,0.3139954,6.9837,4749.712,2.626988,1
0.06191704,0.00049299,0.003837223,2.184437,3.92573,602.9297,-0.3432913,1.89314,0.02832031,0.2359314,6.539692,1905.435,1.981345,1
0.06447415,0.000395387,0.004160822,2.106794,4.256682,602.9297,-0.3562489,1.899011,0.02929688,0.252594,6.938415,2456.499,2.063172,1
0.06093767,-1.43E-06,0.003717029,1.999694,3.802521,602.9297,-0.286943,1.799181,0.02929688,0.2295837,7.088231,1939.125,1.950005,1
0.05857843,-0.000731617,0.003434249,2.164629,3.513787,602.9297,-0.1839509,1.818354,0.02929688,0.2270203,6.797597,1939.037,1.874509,1
0.03538386,-3.33E-05,0.00125324,2.647788,1.282066,947.4609,0.06521576,2.52172,0.05078125,0.1813354,6.688911,598.1042,1.132283,2
0.02190779,-7.47E-05,0.000480415,3.787571,0.49147,990.5273,-0.04016334,4.866003,0.046875,0.1608887,5.864108,218.7226,0.7010498,2
0.02965056,-0.000581265,0.000879677,2.721314,0.9002555,947.4609,-0.02130839,2.878957,0.04492188,0.1595764,6.496361,495.091,0.9488179,2
0.03383083,-0.000106096,0.001145632,2.482481,1.171993,947.4609,0.005987115,2.577054,0.04492188,0.1651917,5.907106,769.8235,1.082586,2
0.03022237,-4.84E-05,0.000914282,2.918229,0.9353129,1248.926,0.02029274,2.591236,0.05273438,0.164856,6.437819,785.262,0.9671159,2
0.03546484,-0.000135571,0.001258966,2.905056,1.287941,947.4609,0.03522745,2.699555,0.046875,0.1856995,6.658642,1141.396,1.134875,2
0.03906085,4.28E-05,0.001527239,2.239938,1.562368,947.4609,-0.007734566,2.256834,0.04785156,0.1741943,5.395905,1245.766,1.249947,2
0.02086008,0.000192821,0.000435531,3.121969,0.4455862,947.4609,-0.1353269,3.237447,0.0546875,0.1175842,6.187665,175.546,0.6675228,2
0.03326778,0.000219643,0.001107779,2.200678,1.133307,947.4609,-0.02489502,2.053596,0.04394531,0.1445923,5.76595,1090.469,1.064569,2
0.01979933,0.000404716,0.000392233,3.31389,0.4014216,1248.926,0.1127768,3.011618,0.05175781,0.1176758,6.78506,296.721,0.6335788,2
0.03541032,-0.000156373,0.001255092,2.47603,1.283984,947.4609,0.002458474,2.461551,0.046875,0.1750793,5.958124,915.0897,1.13313,2
0.02237863,0.000217229,0.000501246,2.646928,0.5128225,1248.926,0.006009164,2.815239,0.0546875,0.1170044,7.118814,397.8535,0.7161167,2
0.02515948,3.13E-05,0.000633617,3.071229,0.6481912,1248.926,-0.007993502,2.908979,0.05175781,0.1481628,7.803006,367.7389,0.8051034,2
0.03645024,2.35E-05,0.001329918,2.366039,1.360507,947.4609,-0.01625128,2.603695,0.04492188,0.1716003,5.480364,896.156,1.166407,2
0.02392151,-3.00E-05,0.000572797,3.649887,0.5859722,990.5273,-0.01463354,4.51052,0.05371094,0.1672363,6.286727,284.9318,0.7654884,2
0.0319896,-1.48E-05,0.001024335,2.259989,1.047895,947.4609,0.01617419,2.228944,0.04785156,0.1378479,5.462632,558.2682,1.023667,2
0.01961897,-0.000232518,0.000385226,3.81412,0.3941416,990.5273,0.08145097,5.139501,0.04394531,0.139679,7.201,190.3532,0.6278071,2
0.03322786,-7.50E-05,0.001105165,2.446706,1.130589,947.4609,-0.004481169,2.558493,0.04785156,0.1599121,5.754881,673.7369,1.063292,2
0.02762354,0.000232816,0.000763752,2.645917,0.7813735,1248.926,-0.04601096,2.65699,0.05175781,0.1456909,6.282125,460.4401,0.8839533,2
0.02937459,0.00024274,0.000863652,2.301187,0.8835755,1248.926,-0.03002986,2.252654,0.05273438,0.1331482,7.32153,578.7553,0.9399871,2
0.03279559,-0.000131577,0.001076584,3.023322,1.101364,990.5273,-0.01034834,3.541978,0.04785156,0.1923218,5.726164,503.8933,1.049459,2
0.02791555,4.65E-05,0.000780038,2.725375,0.7979804,947.4609,-0.004396357,3.127754,0.05175781,0.1520691,6.803598,506.4074,0.8932976,2
0.02954551,-0.000123948,0.000873775,2.632864,0.8938875,947.4609,0.02384547,2.826119,0.04589844,0.1508484,6.15251,462.0968,0.9454561,2
0.02805986,-0.000279307,0.000788048,2.995218,0.8062525,947.4609,-0.08873737,3.099055,0.04882812,0.1596375,7.242938,351.5383,0.8979156,2
0.034556,0.000110477,0.001195272,2.694442,1.222776,947.4609,0.07544112,2.598769,0.04882812,0.1685791,7.328856,594.3424,1.105792,2
0.03176843,-1.54E-05,0.001010219,2.939515,1.033455,947.4609,-0.04746572,2.853834,0.04785156,0.1703186,6.268706,549.462,1.01659,2
0.0206724,-0.000168562,0.000427738,3.014498,0.4376044,990.5273,0.02594094,3.605938,0.05078125,0.1174316,7.735267,226.1252,0.661517,2
0.03693438,3.52E-05,0.001365481,2.544069,1.396888,947.4609,-0.01284541,2.315313,0.04785156,0.1734009,6.33036,1041.993,1.1819,2
0.02867299,3.47E-05,0.000822942,3.671945,0.8418718,990.5273,-0.03385973,3.952356,0.05664062,0.1910095,5.966737,257.9008,0.9175352,2
0.0324277,-0.000182569,0.001052551,2.433674,1.076793,947.4609,0.01862463,2.232292,0.04882812,0.1521912,6.488443,514.5101,1.037687,2
0.03723598,-8.94E-05,0.001387865,2.83654,1.419794,947.4609,0.02595856,2.677196,0.04980469,0.2059326,6.061947,744.9568,1.191551,2
0.03340206,0.000183016,0.001116755,2.221067,1.142475,947.4609,-0.004733735,2.357426,0.04882812,0.1471252,6.789442,786.4656,1.068866,2
0.02038334,0.000196219,0.000415849,2.979394,0.4254519,990.5273,0.01305555,2.987413,0.04882812,0.1142273,6.797709,354.6884,0.652267,2
0.03556934,0.000177592,0.001266383,2.172391,1.295542,947.4609,0.01971207,2.068787,0.04199219,0.1529236,6.799278,1362.249,1.138219,2
0.02570427,0.000120819,0.00066134,2.882661,0.6765665,990.5273,0.004087455,3.84349,0.04980469,0.1445618,5.70339,283.539,0.8225362,2
0.0299406,0.000117838,0.000897302,2.722473,0.9179538,990.5273,-0.1107117,2.725995,0.05371094,0.1533508,6.172215,325.2552,0.9580991,2
0.03425104,-0.000374675,0.00117414,2.550034,1.201289,947.4609,0.01352184,2.730341,0.04980469,0.1663513,7.039364,675.0854,1.096033,2
0.03540207,5.25E-06,0.001254531,2.382645,1.283386,947.4609,-0.02541324,2.217096,0.04980469,0.1592712,5.933508,517.9422,1.132866,2
0.02542769,0.000174999,0.000647169,3.124046,0.6620848,990.5273,-0.001452603,3.487025,0.05273438,0.1579895,7.696911,302.0463,0.8136861,2
0.03730104,-0.000107586,0.001392716,2.433157,1.42476,947.4609,-0.01938023,2.319766,0.04785156,0.1784363,5.922289,1193.41,1.193634,2
0.02600452,-0.000458479,0.000676686,3.14159,0.6924648,990.5273,0.02221104,3.107003,0.05371094,0.1456604,6.668952,230.7191,0.832145,2
0.03538421,-0.000136256,0.001253248,2.225155,1.282091,947.4609,0.01245466,2.324786,0.04492188,0.1551819,6.356664,926.6228,1.132295,2
0.03363879,-0.000173003,0.001132644,3.090878,1.158726,990.5273,-0.02004182,3.364197,0.04980469,0.190033,5.817476,541.2697,1.076441,2
0.03181493,-0.000125408,0.001013163,2.668556,1.036482,947.4609,-0.002764722,2.638068,0.046875,0.1667175,5.964154,489.4511,1.018077,2
0.02893929,7.46E-05,0.000838296,2.604708,0.8575822,947.4609,0.07952584,2.740069,0.04394531,0.1390686,7.560808,363.8824,0.9260575,2
0.03212065,-1.55E-05,0.001032745,2.302073,1.056498,947.4609,-0.0103898,2.431296,0.04492188,0.1477356,7.105686,802.7065,1.027861,2
0.03255988,1.30E-05,0.001061182,2.231653,1.085589,947.4609,0.01640836,2.494069,0.04589844,0.1418457,6.708312,493.995,1.041916,2
0.02657221,0.000315487,0.000706674,2.486453,0.7230285,1248.926,0.08348261,2.231684,0.0546875,0.1234131,6.168777,379.3988,0.8503109,2
0.03511811,0.000101745,0.001234476,2.739083,1.26288,947.4609,-0.01217771,2.400311,0.04394531,0.1730042,5.614965,1023.03,1.123779,2
0.02146172,-9.98E-05,0.000461046,3.321685,0.4716597,947.4609,-0.03019507,3.595605,0.05078125,0.1281738,6.834334,205.6443,0.6867752,2
0.03676901,0.000234276,0.001353227,2.652619,1.384407,947.4609,-0.008939533,2.514741,0.04492188,0.1939392,6.074441,1206.656,1.176608,2
0.02894521,-0.000258505,0.000838577,2.972134,0.8579332,990.5273,0.03684925,3.309918,0.05175781,0.1687317,6.652362,400.0652,0.9262468,2
0.03201007,0.000389576,0.001025494,2.335767,1.049236,947.4609,0.01652019,2.289546,0.04785156,0.1427002,6.964823,655.8805,1.024322,2
0.03111218,5.49E-05,0.000968911,2.877927,0.9911989,990.5273,-0.009954743,3.507201,0.04785156,0.1764526,5.962669,514.2853,0.9955896,2
0.02658748,0.000259191,0.000707518,2.584886,0.7238594,947.4609,0.09219952,2.7282,0.05078125,0.131073,7.050005,418.3254,0.8507995,2
0.02511704,0.000242412,0.000631424,2.674248,0.6460065,990.5273,-0.0132265,2.822474,0.04980469,0.1304321,6.074775,367.4998,0.8037453,2
0.02496793,-9.07E-05,0.000623999,2.876004,0.6383592,990.5273,0.002957972,2.911047,0.04980469,0.1378784,6.494734,441.3088,0.7989737,2
0.03273452,-0.000130892,0.001072578,2.47892,1.097266,947.4609,-0.02581336,2.796704,0.046875,0.1617126,5.557071,700.8561,1.047504,2
0.02382735,-0.000314295,0.000568199,3.718103,0.5813683,1248.926,0.1000023,4.201868,0.05761719,0.161377,6.60873,388.0151,0.7624754,2
0.0351264,-4.56E-05,0.001235068,2.278844,1.263477,947.4609,0.000984522,2.222891,0.04785156,0.1572571,6.833979,1039.45,1.124045,2
0.02111096,0.000155538,0.000446085,3.301704,0.4563687,1248.926,-0.1528607,3.072613,0.05273438,0.1216431,6.887774,367.9667,0.6755511,2
0.03820245,-8.33E-05,0.001460847,2.430066,1.494454,947.4609,0.026855,2.275587,0.04785156,0.1794434,6.097026,1287.755,1.222479,2
0.02185591,7.12E-05,0.000478144,3.239434,0.4891454,990.5273,-0.02493197,3.721217,0.0546875,0.1326599,5.99724,253.378,0.6993895,2
0.0340532,-0.000226677,0.001160703,2.513767,1.187451,947.4609,0.008122549,2.388283,0.04589844,0.1597595,7.06243,829.0163,1.089702,2
0.02771822,-6.85E-05,0.000769046,3.286465,0.7867389,990.5273,0.1107447,3.288544,0.05078125,0.1694641,6.745597,320.9159,0.886983,2
0.03162958,-0.00023368,0.001001353,2.813482,1.02444,947.4609,-0.005141827,2.80346,0.04785156,0.164856,6.696673,651.5505,1.012146,2
0.02811215,1.26E-05,0.000791065,2.874577,0.8092603,990.5273,-0.04132173,2.984427,0.04980469,0.1539307,6.126606,423.3744,0.8995888,2
0.03381468,-0.000142634,0.00114453,2.364537,1.170875,947.4609,0.006419666,2.216976,0.04785156,0.1585693,6.695004,872.1634,1.08207,2
0.03555918,-0.000362128,0.00126556,2.413313,1.294802,947.4609,0.01621863,2.307706,0.046875,0.16745,5.933185,1016.789,1.137893,2
0.0278333,0.0003016,0.000775359,3.038239,0.7932853,947.4609,0.01697602,2.947311,0.04785156,0.1628113,6.352518,324.1025,0.8906657,2
0.03279343,-6.59E-06,0.00107646,2.755507,1.101219,947.4609,-0.03528874,2.799661,0.05371094,0.1735229,6.068182,523.136,1.04939,2
0.02592453,-0.000499964,0.000672488,2.938216,0.6882111,947.4609,-0.05758606,3.384263,0.04882812,0.1456299,6.559967,296.2603,0.829585,2
0.0325025,3.84E-05,0.001057443,2.491921,1.081766,947.4609,-0.003576693,2.600044,0.04882812,0.1603394,5.700284,591.6118,1.04008,2
0.02239222,-0.000444382,0.000501705,2.817042,0.5134456,990.5273,-0.06061813,2.949774,0.04980469,0.1210022,6.452797,252.1187,0.7165517,2
0.03750006,4.59E-06,0.001407629,2.911779,1.440004,947.4609,0.00222975,2.904019,0.04785156,0.2021179,5.801902,1030.27,1.200002,2
0.02081529,-0.000198245,0.000433661,2.759226,0.4436748,990.5273,0.005290509,2.818149,0.04882812,0.1116333,6.751007,266.8857,0.6660895,2
0.03562261,-0.000148743,0.001270189,2.670307,1.299426,947.4609,5.26E-05,2.2802,0.04589844,0.1812439,6.519808,1117.123,1.139923,2
0.01952181,9.35E-05,0.000381465,2.734134,0.3902475,990.5273,0.003426546,2.619598,0.04980469,0.1016541,7.10291,175.4734,0.6246983,2
0.02674869,0.000133723,0.000716174,3.340555,0.7326642,990.5273,-0.001060425,3.446774,0.05175781,0.1685486,6.477045,294.8855,0.855958,2
0.03788371,-0.000189453,0.001436543,2.663985,1.46962,947.4609,-0.005019815,2.415214,0.046875,0.1945496,5.480323,1319.842,1.212278,2
0.032125,-0.000151902,0.001033001,2.658948,1.056784,947.4609,0.02363277,3.023421,0.046875,0.1702881,5.836628,486.1718,1.028,2
0.02322529,0.000144303,0.000539921,2.660811,0.55236,947.4609,-0.02831409,2.817971,0.05566406,0.1171265,6.484123,173.6691,0.7432095,2
